time,latitude,longitude,platform_number,cycle_number,pres,temp,psal
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,0.92,29.523,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,1.88,29.509,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,3.04,29.510,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,5.00,29.506,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,10.24,29.469,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,20.00,29.424,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,26.08,28.960,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,50.00,27.900,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,75.00,26.100,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,100.00,24.700,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,150.00,21.100,NaN
2026-01-01T07:58:42Z,-3.42543,49.90202,1902025,336,200.00,18.700,NaN
